Months,No. of Banks live on UPI,Volume (In Cr.),Value (In Cr.)
01-04-2016,21,0,0
01-05-2016,21,0,0
01-06-2016,21,0,0
01-07-2016,21,0.0903,0
01-08-2016,21,0.0903,3
01-09-2016,25,0.0903,33
01-10-2016,26,0.1,49
01-11-2016,30,0.2903,100
01-12-2016,35,1.99,708
01-01-2017,36,4.46,1696
01-02-2017,44,4.38,1938
01-03-2017,44,6.37,2425
01-04-2017,48,7.2,2271
01-05-2017,49,9.36,2797
01-06-2017,52,10.35,3098
01-07-2017,53,11.63,3411
01-08-2017,55,16.8,4157
01-09-2017,57,30.98,5326
01-10-2017,60,76.96,7058
01-11-2017,61,105.02,9669
01-12-2017,67,145.64,13174
01-01-2018,71,151.83,15571
01-02-2018,86,171.4,19126
01-03-2018,91,178.05,24173
01-04-2018,97,190.08,27022
01-05-2018,101,189.48,33289
01-06-2018,110,246.37,0
01-07-2018,114,273.75,0
01-08-2018,114,312.02,0
01-09-2018,122,405.87,0
01-10-2018,128,482.36,74978
01-11-2018,128,524.94,82232
01-12-2018,129,620.17,102595
01-01-2019,134,672.75,109932
01-02-2019,139,674.19,106737
01-03-2019,142,799.54,133461
01-04-2019,144,781.79,142034
01-05-2019,143,733.54,152449
01-06-2019,142,754.54,146566
01-07-2019,143,822.29,146387
01-08-2019,141,918.35,154505
01-09-2019,141,955.02,161457
01-10-2019,141,1148.36,191360
01-11-2019,143,1218.77,189229
01-12-2019,143,1308.4,202521
01-01-2020,144,1305.02,216243
01-02-2020,146,1325.69,222517
01-03-2020,148,1246.84,206462
01-04-2020,153,999.57,151141
01-05-2020,155,1234.5,218392
01-06-2020,155,1336.93,261835
01-07-2020,164,1497.36,290538
01-08-2020,168,1618.83,298308
01-09-2020,174,1800.14,329028
01-10-2020,189,2071.62,386107
01-11-2020,200,2210.23,390999
01-12-2020,207,2234.16,416176
01-01-2021,207,2302.73,431182
01-02-2021,213,2292.9,425063
01-03-2021,216,2731.68,504886
01-04-2021,220,2641.06,493664
01-05-2021,224,2539.57,490639
01-06-2021,229,2807.51,547373
01-07-2021,235,3247.82,606281
01-08-2021,249,3555.55,639117
01-09-2021,259,3654.3,654352
01-10-2021,261,4218.65,771445
01-11-2021,274,4186.48,768436
01-12-2021,282,4566.3,826848
01-01-2022,297,4617.15,831993
01-02-2022,304,4527.49,826843
01-03-2022,314,5405.65,960582
01-04-2022,316,5583.05,983302
01-05-2022,323,5955.2,1041520
01-06-2022,330,5862.75,1014384
01-07-2022,338,6288.4,1062992
01-08-2022,346,6579.63,1072793
01-09-2022,358,6780.8,1116438
01-10-2022,365,7305.42,1211583
01-11-2022,376,7309.45,1190593
01-12-2022,382,7829.49,1282055
01-01-2023,385,8036.89,1298727
01-02-2023,390,7534.76,1235847
01-03-2023,399,8685.3,1410443
01-04-2023,414,8863.26,1415505
01-05-2023,445,9415.19,1489145
01-06-2023,458,9335.06,1475464
01-07-2023,473,9964.61,1533536
01-08-2023,484,10586.02,1576537
01-09-2023,492,10555.69,1579133
01-10-2023,505,11408.79,1715768
01-11-2023,516,11235.29,1739741
01-12-2023,522,12020.23,1822949
01-01-2024,550,12203.02,1841084
01-02-2024,560,12102.67,1827869
01-03-2024,572,13440,1978353
01-04-2024,583,13303.99,1964465
01-05-2024,598,14035.84,2044937
01-06-2024,602,13885.14,2007081
01-07-2024,605,14435.55,2064292
01-08-2024,608,14963.05,2060736
01-09-2024,622,15041.75,2063995
01-10-2024,632,16584.97,2349821
01-11-2024,637,15482.02,2155187
01-12-2024,641,16730.01,2324700
01-01-2025,647,16996,2348037
01-02-2025,653,16106.19,2196482
01-03-2025,661,18301.51,2477222
