Month,Year,UPI Transactions-Volume(Lakh),UPI Transactions-Value(Crores),Card Payments-Volume(Lakh),Card Payments-Value(Crores),Cash Payments-Volume(Lakh),Cash Payments-Value(Crores)
Jun,2025,183950,2403931,5673,218552,4382,229907
May,2025,186775,2514297,5827,226810,4605,246201
Apr,2025,178934,2394926,5674,222351,4603,244747
Mar,2025,183015,2477222,5790,240549,4984,263892
Feb,2025,161062,2196482,5052,201522,4498,235618
Jan,2025,169960,2348037,5522,223090,4910,251938
Dec,2024,167300,2324700,5609,228548,4951,252471
Nov,2024,154820,2155187,5171,208387,4761,241717
Oct,2024,165850,2349821,5774,248709,5545,285511
Sep,2024,150417,2063995,5275,216304,4950,245223
Aug,2024,149630,2060736,5323,211744,5157,255021
Jul,2024,144356,2064292,5294,217435,5069,250318
Jun,2024,138851,2007081,5003,200081,5077,255229
May,2024,140358,2044937,5105,208520,5166,260240
Apr,2024,133040,1964465,4960,200409,5240,265905
Mar,2024,134400,1978353,5034,209208,5564,278271
Feb,2024,121027,1827869,4635,190658,5172,257238
Jan,2024,122030,1841084,4934,211931,5306,260746
Dec,2023,120202,1822949,4983,213054,5464,269288
Nov,2023,112353,1739741,4743,210038,5543,276530
Oct,2023,114088,1715768,5105,230670,5721,277832
Sep,2023,105557,1579133,4578,189186,5377,260514
Aug,2023,105860,1576537,4982,201282,5723,273107
Jul,2023,99643,1533536,4882,198421,5591,269298
Jun,2023,93351,1475464,4731,188284,5577,274070
May,2023,94152,1489145,4975,193436,5695,279621
Apr,2023,88633,1415505,4888,187396,5707,282873
Mar,2023,86516,1404951,5017,191035,5922,286762
Feb,2023,75348,1235847,4589,168378,5472,263681
Jan,2023,80386,1299059,5104,183460,5750,272142
Dec,2022,78289,1281971,5224,185150,5892,280465
Nov,2022,73094,1190593,4956,170388,5608,265636
Oct,2022,73054,1211588,5516,195998,6124,292144
Sep,2022,67808,1116438,5352,183298,5726,265243
Aug,2022,65819,1073162,5481,174516,5767,268788
Jul,2022,62893,1063117,5482,180371,5778,272103
Jun,2022,58629,1014413,5369,169636,5731,271367
May,2022,59463,1040221,5694,179494,5868,280267
Apr,2022,55844,983573,5541,170521,5830,286411
Mar,2022,54057,960582,5513,171159,5967,287373
Feb,2022,45275,826843,4840,143111,5297,256463
Jan,2022,46172,831993,5151,147794,5555,262384
Dec,2021,45663,826848,5612,160398,5924,280371
Nov,2021,41865,768436,5418,156326,5688,271730
Oct,2021,42184,771407,6009,177413,6033,289887
Sep,2021,36558,654648,5338,142817,5541,257941
Aug,2021,35555,639117,5493,142600,5685,262881
Jul,2021,32455,605883,5226,135972,5375,254886
Jun,2021,28075,547373,4494,113790,4758,229638
May,2021,25292,489106,3901,95239,4167,202858
Apr,2021,26411,493664,4789,115232,5253,255533
Mar,2021,27317,504886,5650,139705,6036,285268
Feb,2021,22929,425063,5059,119331,5530,259249
Jan,2021,23027,431182,5444,127894,5730,267500
Dec,2020,22342,416176,5503,128665,5676,266709
Nov,2020,22102,390999,5428,130239,5884,277940
Oct,2020,20716,386107,5651,133792,5656,268881
Sep,2020,18002,329032,4995,106500,5066,241222
Aug,2020,16188,298308,4815,105081,4859,236446
Jul,2020,14974,290538,4482,95883,4684,232074
Jun,2020,13369,261835,4251,90484,4713,229517
May,2020,12345,218392,3688,70209,4076,195921
Apr,2020,9996,151141,2822,44015,2950,129098
Mar,2020,12468,206462,5247,98783,5440,248574
Feb,2020,13257,222517,6129,120708,6185,283280
Jan,2020,13050,216243,6518,129444,6533,295573
Dec,2019,13084,202521,6485,128488,6491,290918
Nov,2019,12188,189229,5943,118339,6273,282631
